date,settlement_price
"2025-05-12",30.25
"2025-05-13",30.06
"2025-05-14",30.19
"2025-05-15",29.57
"2025-05-16",29.25
"2025-05-19",29.0
"2025-05-20",29.04
"2025-05-21",29.0
"2025-05-22",29.0
"2025-05-23",29.06
"2025-05-26",29.06
"2025-05-27",28.89
"2025-05-28",28.76
"2025-05-29",28.7
"2025-05-30",28.65
"2025-06-02",28.74
"2025-06-03",28.71
"2025-06-04",28.6
"2025-06-05",28.62
"2025-06-06",28.69
"2025-06-09",28.74
"2025-06-10",28.64
"2025-06-11",28.5
"2025-06-12",28.53
"2025-06-13",28.64
"2025-06-16",28.68
"2025-06-17",28.97
"2025-06-18",29.51
"2025-06-19",29.51
"2025-06-20",29.66
"2025-06-23",29.73
"2025-06-24",29.67
"2025-06-25",30.25
"2025-06-26",30.0
"2025-06-27",29.87
"2025-06-30",30.15
"2025-07-01",30.14
"2025-07-02",30.14
"2025-07-03",30.02
"2025-07-04",30.02
"2025-07-07",29.94
"2025-07-08",29.9
"2025-07-09",29.95
"2025-07-10",30.06
"2025-07-11",30.25
"2025-07-14",30.14
"2025-07-15",29.96
"2025-07-16",30.0
"2025-07-17",30.1
"2025-07-18",30.05
"2025-07-21",29.86
"2025-07-22",29.9
"2025-07-23",29.87
"2025-07-24",29.85
"2025-07-25",29.83
"2025-07-28",29.83
"2025-07-29",30.18
"2025-07-30",30.26
"2025-07-31",30.14
"2025-08-01",29.98
"2025-08-04",29.78
"2025-08-05",29.96
"2025-08-06",30.01
"2025-08-07",29.96
"2025-08-08",30.11
"2025-08-11",30.11
"2025-08-12",30.1
"2025-08-13",30.08
"2025-08-14",29.96
"2025-08-15",30.08
"2025-08-18",30.1
"2025-08-19",30.74
"2025-08-20",30.93
"2025-08-21",30.68
"2025-08-22",30.53
"2025-08-25",30.57
"2025-08-26",30.71
"2025-08-27",30.58
"2025-08-28",31.18
"2025-08-29",31.26
"2025-09-01",31.26
"2025-09-02",31.11
"2025-09-03",30.99
"2025-09-04",30.76
"2025-09-05",30.36
"2025-09-08",30.44
"2025-09-09",30.26
"2025-09-10",32.39
"2025-09-11",33.12
"2025-09-12",33.63
"2025-09-15",34.33
"2025-09-16",33.76
"2025-09-17",32.82
"2025-09-18",33.07
